3.3,159.25,343.21
3.3,159.42,343.47
3.31,159.58,343.74
3.31,159.75,344.00
3.31,159.92,344.27
3.31,160.18,344.66
3.31,160.35,344.92
3.31,160.52,345.19
3.31,160.7,345.45
3.31,160.87,345.72
3.31,161.05,345.98
3.31,161.22,346.25
3.32,161.39,346.51
3.32,161.57,346.78
3.32,161.74,347.04
3.32,161.91,347.31
3.32,162.09,347.56
3.32,162.26,347.84
3.32,162.44,348.09
3.32,162.61,348.36
3.32,162.78,348.62
3.32,162.96,348.89
3.33,163.13,349.15
3.33,163.3,349.42
3.33,163.48,349.69
3.33,163.65,349.95
3.33,163.83,350.22
3.33,164,350.48
3.33,164.17,350.75
3.33,164.35,351.01
3.33,164.43,351.14
3.33,164.61,351.40
3.34,164.78,351.67
3.34,164.96,351.93
3.34,165.13,352.20
3.34,165.3,352.46
3.34,165.48,352.73
3.34,165.65,352.99
3.34,165.82,353.26
3.34,166,353.52
3.34,166.17,353.79
3.34,166.35,354.04
3.35,166.52,354.32
3.35,166.61,354.45
3.35,166.8,354.74
3.35,166.99,355.02
3.35,167.18,355.31
3.35,167.36,355.59
3.35,167.55,355.88
3.35,167.74,356.16
3.35,167.93,356.44
3.35,168.11,356.73
3.36,168.3,357.01
3.36,168.49,357.30
3.36,168.68,357.58
3.36,168.86,357.87
3.36,168.96,358.02
3.36,169.15,358.30
3.36,169.33,358.59
3.36,169.52,358.87
3.36,169.71,359.16
3.36,169.9,359.44
3.37,170.08,359.71
3.37,170.27,360.00
3.37,170.46,360.28
3.37,170.65,360.57
3.37,170.74,360.72
3.37,170.93,361.00
3.37,171.12,361.28
3.37,171.3,361.57
3.37,171.49,361.85
3.37,171.68,362.14
3.38,171.87,362.42
3.38,172.05,362.71
3.38,172.15,362.84
3.38,172.33,363.13
3.38,172.52,363.41
3.38,172.71,363.70
3.38,172.9,363.98
3.38,173.08,364.27
3.38,173.27,364.55
3.38,173.46,364.84
3.39,173.55,364.97
3.39,173.73,365.23
3.39,173.92,365.50
3.39,174.1,365.76
3.39,174.28,366.03
