RPM,30,,50,,65,,70,,75,,80,,100,
2645,110.76,41.15,,,,,,,,,,,,
2646,110.74,41.15,,,,,,,,,,,,
2647,110.72,41.16,,,,,,,,,,,,
2648,110.70,41.17,,,,,,,,,,,,
2649,110.68,41.17,,,,,,,,,,,,
2650,110.65,41.18,,,,,,,,,,,,
2651,110.63,41.19,,,,,,,,,,,,
2652,110.61,41.20,,,,,,,,,,,,
2653,110.59,41.20,,,,,,,,,,,,
2654,110.57,41.21,,,,,,,,,,,,
2655,110.54,41.22,,,,,,,,,,,,
2656,110.52,41.22,,,,,,,,,,,,
2657,110.50,41.23,,,,,,,,,,,,
2658,110.48,41.24,,,,,,,,,,,,
2659,110.46,41.24,,,,,,,,,,,,
2660,110.43,41.25,,,,,,,,,,,,
2661,110.42,41.26,,,,,,,,,,,,
2662,110.39,41.27,,,,,,,,,,,,
2663,110.37,41.27,,,,,,,,,,,,
2664,110.35,41.29,,,,,,,,,,,,
2665,110.35,41.31,,,,,,,,,,,,
2666,110.35,41.33,,,,,,,,,,,,
2667,110.35,41.35,,,,,,,,,,,,
2668,110.35,41.37,,,,,,,,,,,,
2669,110.35,41.40,,,,,,,,,,,,
2670,110.35,41.42,,,,,,,,,,,,
2671,110.35,41.44,,,,,,,,,,,,
2672,110.35,41.47,,,,,,,,,,,,
2673,110.35,41.49,,,,,,,,,,,,
2674,110.35,41.52,,,,,,,,,,,,
2675,110.35,41.54,,,,,,,,,,,,
2676,110.35,41.56,,,,,,,,,,,,
2677,110.35,41.58,,,,,,,,,,,,
2678,110.35,41.60,,,,,,,,,,,,
2679,110.35,41.63,,,,,,,,,,,,
2680,110.35,41.65,,,,,,,,,,,,
2681,110.35,41.68,,,,,,,,,,,,
2682,110.35,41.70,,,,,,,,,,,,
2683,110.35,41.71,,,,,,,,,,,,
2684,110.35,41.73,,,,,,,,,,,,
2685,110.35,41.74,,,,,,,,,,,,
2686,110.35,41.76,,,,,,,,,,,,
2687,110.35,41.78,,,,,,,,,,,,
2688,110.35,41.79,,,,,,,,,,,,
2689,110.35,41.80,,,,,,,,,,,,
2690,110.35,41.82,,,,,,,,,,,,
2691,110.35,41.84,,,,,,,,,,,,
2692,110.35,41.85,,,,,,,,,,,,
2693,110.35,41.87,,,,,,,,,,,,
2694,110.35,41.89,,,,,,,,,,,,
2695,110.35,41.90,,,,,,,,,,,,
2696,110.35,41.92,,,,,,,,,,,,
2697,110.35,41.93,,,,,,,,,,,,
2698,110.35,41.95,,,,,,,,,,,,
2699,110.35,41.97,,,,,,,,,,,,
2700,110.35,41.98,,,,,,,,,,,,
2701,110.35,41.99,,,,,,,,,,,,
2702,110.35,42.01,,,,,,,,,,,,
2703,110.35,42.03,,,,,,,,,,,,
2704,110.35,42.04,,,,,,,,,,,,
2705,110.35,42.06,,,,,,,,,,,,
2706,110.35,42.07,,,,,,,,,,,,
2707,110.35,42.09,,,,,,,,,,,,
2708,110.35,42.11,,,,,,,,,,,,
2709,110.36,42.12,,,,,,,,,,,,
2710,110.37,42.13,,,,,,,,,,,,
2711,110.37,42.14,,,,,,,,,,,,
2712,110.38,42.16,,,,,,,,,,,,
2713,110.39,42.17,,,,,,,,,,,,
2714,110.40,42.18,,,,,,,,,,,,
2715,110.41,42.20,,,,,,,,,,,,
2716,110.41,42.21,,,,,,,,,,,,
2717,110.42,42.22,,,,,,,,,,,,
2718,110.43,42.24,,,,,,,,,,,,
2719,110.43,42.25,,,,,,,,,,,,
2720,110.44,42.26,,,,,,,,,,,,
2721,110.45,42.28,,,,,,,,,,,,
2722,110.46,42.29,,,,,,,,,,,,
2723,110.46,42.30,,,,,,,,,,,,
2724,110.47,42.32,,,,,,,,,,,,
2725,110.48,42.33,,,,,,,,,,,,
2726,110.49,42.34,,,,,,,,,,,,
2727,110.50,42.36,,,,,,,,,,,,
2728,110.50,42.37,,,,,,,,,,,,
2729,110.51,42.38,,,,,,,,,,,,
2730,110.52,42.40,,,,,,,,,,,,
2731,110.52,42.41,,,,,,,,,,,,
2732,110.53,42.42,,,,,,,,,,,,
2733,110.54,42.44,,,,,,,,,,,,
2734,110.55,42.45,,,,,,,,,,,,
2735,110.56,42.47,,,,,,,,,,,,
2736,110.57,42.49,,,,,,,,,,,,
2737,110.58,42.51,,,,,,,,,,,,
2738,110.59,42.53,,,,,,,,,,,,
2739,110.61,42.55,,,,,,,,,,,,
2740,110.62,42.57,,,,,,,,,,,,
2741,110.63,42.59,,,,,,,,,,,,
2742,110.64,42.61,,,,,,,,,,,,
2743,110.65,42.63,,,,,,,,,,,,
2744,110.66,42.65,,,,,,,,,,,,
2745,110.68,42.67,,,,,,,,,,,,
2746,110.68,42.69,,,,,,,,,,,,
2747,110.70,42.71,,,,,,,,,,,,
2748,110.71,42.73,,,,,,,,,,,,
2749,110.72,42.75,,,,,,,,,,,,
2750,110.73,42.77,,,,,,,,,,,,
2751,110.74,42.79,,,,,,,,,,,,
2752,110.74,42.80,,,,,,,,,,,,
2753,110.73,42.82,,,,,,,,,,,,
2754,110.72,42.83,,,,,,,,,,,,
2755,110.71,42.84,,,,,,,,,,,,
2756,110.71,42.86,,,,,,,,,,,,
2757,110.70,42.87,,,,,,,,,,,,
2758,110.69,42.88,,,,,,,,,,,,
2759,110.69,42.89,,,,,,,,,,,,
2760,110.68,42.91,,,,,,,,,,,,
2761,110.67,42.92,,,,,,,,,,,,
2762,110.66,42.93,,,,,,,,,,,,
2763,110.66,42.94,,,,,,,,,,,,
2764,110.65,42.96,,,,,,,,,,,,
2765,110.64,42.97,,,,,,,,,,,,
2766,110.63,42.98,,,,,,,,,,,,
2767,110.63,42.99,,,,,,,,,,,,
2768,110.62,43.01,,,,,,,,,,,,
2769,110.61,43.02,,,,,,,,,,,,
2770,110.61,43.03,,,,,,,,,,,,
2771,110.60,43.04,,,,,,,,,,,,
2772,110.59,43.06,,,,,,,,,,,,
2773,110.59,43.07,,,,,,,,,,,,
2774,110.58,43.08,,,,,,,,,,,,
2775,110.57,43.09,,,,,,,,,,,,
2776,110.56,43.11,,,,,,,,,,,,
2777,110.56,43.12,,,,,,,,,,,,
2778,110.55,43.13,,,,,,,,,,,,
2779,110.54,43.14,,,,,,,,,,,,
2780,110.53,43.16,,,,,,,,,,,,
2781,110.53,43.17,,,,,,,,,,,,
2782,110.52,43.18,,,,,,,,,,,,
